Alex			Cepstral Vittoria
# really perche che cosa c'e`?
what is it?		che cos'e
#what is it?		che cos'è?
with whom		con chi
a good idea		una buona idea
keep going		pu avanti
its late		e tardi
but you don't know him	ma no lo conosco
is coming to visit me	mi vienne trovare
and then straight ahead	e poi dorito
what?			come?
darn!			accidenti
damn!			cavolo
what the hell		che cavolo
What the hell are you talking about?	Che cavolo dici?
good enough		abbastanza buono
cheers			cin cin
not important		non importante
it doesn' matter	non importa
never mind		non importa
how goes it?		come va?
how are you?		come sta?
not too bad		Non che male
thank you		grazie
excuse me		mi scusi
please let me by	permesso
don't speak too fast	non parle troppo velocemente
repeat please		repete per favore
yes or no?		si or no?
# When pronounces strange, use whin
but whin?		ma quando?
not here		non qui
not over there		non li
with who		con chi
and I			ed io
and then		e'poi
hello			pronto
it's me			sono io
I don't know		non lo so
I think so		credo di si
I don't think so	credo di no
with me			con me
with you		con lei, con te
not me			non io
and you			e lei, e tu
good luck		buona fortuna
me too			anch'io
you too?		anche'lei
your place		da lei, da te	
my place		da me
you know		lei sa
its here		e qui
its not here		non e qui
its there		e li
its over there		e li
its not there		non e li
also some beer		anche de la beera
also some wine		anche del vino
who are you?		chi e lei?
you can't miss it	non si puo sbagliare
how do you say?		come si dici?
Right?			non e vero
to the right		a destra
to the left		a sinistra
straight ahead		a diritto
together		insieme
coffee			Caffe Americano
Is that ok?		Va bene cosi?
Gosh.			Perdinci.
And for you?		E per te
May I?			posso
You're welcome		prego
How do you say		Come si dici
# lo so pronounces funny, use sso
I know it		lo sso
I know			lo sso
I don't know		non lo sso
I don't know it		non lo sso
I don't have any	non o niente
I don't want any	Non voglio niente
again			ancora'na volta
once more		ancora'na volta
yet again		ancora'na volta
one more time		ancora'na volta
yet			ancora
listen and repeat	ascolti e ripete	
repeat			ripete
exactly			esatto	
its 2 o'clock exactly	sono le due esatto
yes or no		si or no
you would like to have lunch, yes or no?	vorrebbe pranzare, si or no?
to eat lunch		pranzare
nothing yet		ancora niente
I haven't seen anything yet	non o ancora visto niente
I haven't seen anything	non o visto niente
my name is Gregory	me chiamo Gregory
I am called Gregory	me chiamo Gregory
what's his name		come si chiama
what's your name	come si chiama
what are their names	come si chiamano
that one over there	quello li
that one		quello
Which car		Quale machina
Here it is		eccolo
Here I am		eccomi
Did you buy it		La comprato?
This word		Questa parola
What does this word mean?	Che cosa vuol'dire questa parola
How old are you?	Quanti anni ha?
How old are tu?		Quanti anni hai?
How old are they?	Quanti anni hanno?
How old are you all?	Quanti anni avete?
Tell me. How old am I?		me dicca. Quanti anni ho?
That's too bad		che peccato
See you soon		a presto
Be seeing you		a presto
I see it		lo vedo
Don't think about it	si figuri
Tell me			mi dica, dimmi
Can you tell me		mi po dire
# There's		li c'è
There's			li cè ###
There's a taxi		li cè un taxi ###
he must still do	devi ancura fa
he must still do 3 years	devi ancura fa tre ani
# L24 0m0s: ma se? nuova? se
but its new!		ma si nuova!, ma si nuovo!
# L24 0m0s
must you		devi		
where can I find	dove posso trovare
rather far		piuttosto lontana, piuttosto lontano
# lesson 29 minute 20.0
Pleased to see you again	piacere di rivederla
Nice to meet you	piacere di conoscerti. piacere di conoscerle.
